date_filling,batch_number_gp,date_bulk_prepared,batch_number_bulk,date_aroma_added,trademark_name,label_name,quantity_units,volume,notes,packaging_type,allowed_for_shipment
,11/24(1),11/26/2024,,,MLN027,tester 50 ml Спрей для стимуляціі росту волосся,,,,"Флакон HDPE чорний 50 мл, розпилювач (спрей) (PP, LDPE, HDPE, STN STL, GLASS) чорний 24/410",дозволено
11/28/2024,11/24(1),11/18/2024,,,L141,"Шампунь ""Шовковий"" для сухого та пошкодженого волосся, 275 мл",,,,39,дозволено
,11/24(1),11/13/2024,,,MLN024,"tester 50 ml CONDITIONER XTREME REPAIR, кондиціонер , чорна етикетка",,,,"флакон HDPE чорний 50мл, помпа (PP, LDPE, HDPE, STN STL, GLASS) чорна 24/410",дозволено
,11/24(1),10/23/2024,,,MLN043,Термозащита tester,,,,"Флакон HDPE чорний 50 мл, розпилювач (спрей) (PP, LDPE, HDPE, STN STL, GLASS) чорний 24/410",дозволено
,11/24(1),10/24/2024,,,L147,"Кондиціонер для волосся, 275 мл",,,,42,дозволено
11/29/2024,11/24(1),11/29/2024,,,L300,"тонік Retreat, 150 мл",,,,43,дозволено
АРБІТРАЖНІ ЗРАЗКИ ГРУДЕНЬ 2024,,,,,,,,,,,дозволено
12/1/2024,,,,,,,,,,,дозволено
12/2/2024,12/24(1),12/2/2024,,,L210,"Дезодорант натуральний для тіла, 20 г",,,,,дозволено
,12/24(1),11/25/2024,,,контракт,Гідрогель трояндовий,,,,,дозволено
,12/24(1),11/28/2024,,,MLN040,"Флюїд для волосся, MELONI CRYSTALS, 30 ml, RP020",,,,"Флакон скло біле 30 мл, піпетка скляна",дозволено
,02/12/24,11/25/2024,,,Малахова,Гідрогель трояндовий,,,,,дозволено
,02/12/24,11/26/2024,,,MLN041,"Термозащита, RP021",,,,"Флакон HDPE чорний 200 мл, розпилювач курковий (РЕ, PP, LDPE, HDPE, РОМ, SUS, GLASS, NBR) чорний 24/410",дозволено
,02/12/24,12/2/2024,,,Запольська,Термогель Персик,,,,,дозволено
12/3/2024,03/12/24,11/28/2024,,,Пухтенко,Крем-Суфле Том Форд,,,,,дозволено
,03/12/24,11/28/2024,,,Пухтенко,Крем-суфле Флер наркотик,,,,,дозволено
,03/12/24,11/28/2024,,,Пухтенко,Крем-суфле Уніхорн,,,,,дозволено
,03/12/24,11/28/2024,,,Пухтенко,Крем-суфле Ред Крістал,,,,,дозволено
12/4/2024,12/24(1),12/3/2024,,,S066,Сіль для Ванни Радуга Salt Rainbow,,,,,дозволено
12/5/2024,12/24(1),11/20/2024,,,L143,"Шампунь ""Лавандовий"" для нормального волосся, 275 мл",,,,,дозволено
,12/24(1),12/4/2024,,,S003,Скраб Радуга,,,,,дозволено
12/6/2024,12/24(1),12/3/2024,,,S004,Скраб Клубника,,,,,дозволено
12/9/2024,12/24(1),10/21/2024,,,OASIS012,"Hand Cream чорна етикетка, RP065",,,,"Алюмінієва туба з лакофарбовим покриттям 30 мл, кришка PE чорна",дозволено
12/10/2024,12/24(1),12/10/2024,,,L085,"Антицилюлітна масажна олія для тіла, 100 мл",,,,,дозволено
,12/24(1),12/6/2024,,,L217,"Зволожуючий крем Hydra, 50 мл",,,,,дозволено
,12/24(1),10/21/2024,,,OASIS020,крем для рук Oasis Ganymede золото 30 ml RP065,,,,"Алюмінієва туба з лакофарбовим покриттям 30 мл, кришка PE чорна",дозволено
12/11/2024,12/24(1),12/11/2024,,,S034,"Сіль для ванни ""Very Berry""",,,,,дозволено
12/12/2024,12/24(1),12/11/2024,,,L251,"Пінка для вмивання, 150 мл (L131)",,,,,дозволено
,12/24(1),12/11/2024,,,L063,"Вершки для ванни ""Полуниця"", 320 г",,,,,дозволено
,12/24(1),11/29/2024,,,ESTETICA,"Крем для рук з олією ши, кокосу, оливи та пом'якшувальними компонентами, RP025",,,,,дозволено
12/13/2024,13/12/24,12/13/2024,,,Пухтенко,Скраб Ред Крістал,,,,,дозволено
,13/12/24,12/13/2024,,,Пухтенко,Скраб Чері,,,,,дозволено
,13/12/24,12/13/2024,,,Пухтенко,Скраб Саммер Уніхорн,,,,,дозволено
,13/12/24,12/6/2024,,,Пухтенко,Гель унікорн,,,,,дозволено
,13/12/24,12/6/2024,,,Пухтенко,Гель Ред Крістал,,,,,дозволено
12/16/2024,12/24(1),11/12/2024,,,MLN022,tester 50 ml SHAMPOO HAIR BALANCE,,,,"флакон HDPE білий 50мл, кришка (фліп-топ) РР біла 24/410",дозволено
,12/24(1),12/13/2024,,,L237,"Відновлююча сиворотка Retreat для обличчя, 30 мл",,,,,дозволено
,12/24(1),12/13/2024,,,L216,"Відновлюючий крем Retreat, 50 мл",,,,,дозволено
,12/24(1),12/13/2024,,,L070,Зволожуюча сиворотка з гіалуроновою кислотою та олією бавовни,,,,,дозволено
,12/24(1),12/16/2024,,,L238,"Батер для тіла ""Полуниця"", 100 мл",,,,,дозволено
12/17/2024,12/24,12/17/2024,,,ПРАХТ,"Есенція усьми для шкіри голови + 6 трав Oila, RP109",,,,,дозволено
,12/24,12/3/2024,,,MLN025,"tester 50 ml MASK HAIR BALANCE, біла",,,,"Банка PP 50 мл біла, кришка РР біла 24/410",дозволено
,12/24,12/3/2024,,,L152,"Маска для волосся ""Відновлення""",,,,,дозволено
,12/24,10/10/2024,,,L146,"Маска для волосся ""Живлення та укріплення""",,,,,дозволено
,12/24,12/16/2024,,,L179,Живильна сиворотка з вітаміном С та церамідами Rich,,,,,дозволено
,12/24,12/3/2024,,,MLN006,"MASK HAIR BALANCE, маска відновлююча (50мл інша тара), RP059",,,,"Банка PP 250 мл біла, вкладиш прозорий PP, кришка РР біла 24/410",дозволено
,12/24,12/17/2024,,,L287,Скраб «Полуниця»,,,,,дозволено
12/18/2024,12/24,12/18/2024,,,S069,Сіль для Ванни  Salt Barbie,,,,,дозволено
12/19/2024,12/2024,11/13/2024,,,MLN005,"CONDITIONER XTREME REPAIR, кондиціонер , чорна, RP064",,,,"флакон HDPE чорний 450мл, помпа (PP, LDPE, HDPE, STN STL, GLASS) чорна 24/410",дозволено
,19/12/2024,12/5/2024,,,Гресь,Гель для душу,,,,,дозволено
,12/24,11/29/2024,,,L253,"Крем для рук з олією ши, кокосу, оливи та пом'якшувальними компонентами, RP025",,,,,дозволено
12/20/2024,12/24(1),12/20/2024,,,S066,Сіль для Ванни Радуга Salt Rainbow,,,,,дозволено
,12/2024,12/19/2024,,,L301,тонік Rich,,,,,дозволено
12/23/2024,12/24(1),12/6/2024,,,OASIS021,"Гель для душу Oasis Ganymede золото 300 ml, RP032",,,,"Флакон PET білий 300мл, помпа лосьйонна (РР, РЕ, LDPE, HDPE, GLASS, STN STL) чорна",дозволено
,12/24(1),12/13/2024,,,OASIS019,"Крем для рук Oasis Ganymede золото 300 ml, RP065",,,,"Флакон PET білий 300мл, помпа лосьйонна (РР, РЕ, LDPE, HDPE, GLASS, STN STL) чорна",дозволено
12/24/2024,24/12/24,12/6/2024,,,Пухкенко,Гель унікорн,,,,,дозволено
,24/12/24,12/6/2024,,,Пухкенко,Гель флер наркотик,,,,,дозволено
,24/12/24,12/13/2024,,,Пухкенко,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024 флер наркотик",,,,,дозволено
,24/12/24,12/13/2024,,,Пухкенко,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024 том форт",,,,,дозволено
